  t(s)       AF(deg)     apha(deg)    phi_c(deg)        V(m/s)       Cs(m/s)            Ma      mass(kg)
  0.00          0.00          0.00          0.00          0.00          0.00          0.00        632.30
  0.01          3.99          0.00          0.00          0.91        340.29          0.20        632.05
  0.02          3.97          0.00          0.00          1.82        340.29          0.20        631.80
  0.03          3.96          0.00          0.00          2.74        340.29          0.20        631.54
  0.04          3.95          0.00          0.00          3.66        340.29          0.20        631.29
  0.05          3.93          0.00          0.00          4.59        340.29          0.20        631.03
  0.06          3.92          0.00          0.00          5.53        340.29          0.20        630.77
  0.07          3.91          0.00          0.00          6.47        340.29          0.20        630.51
  0.08          3.90          0.00          0.00          7.42        340.29          0.20        630.25
  0.09          3.88          0.00          0.00          8.37        340.29          0.20        629.99
  0.10          3.87          0.00          0.00          9.33        340.29          0.20        629.73
  0.11          3.86          0.00          0.00         10.30        340.29          0.20        629.46
  0.12          3.84          0.00          0.00         11.27        340.29          0.20        629.19
  0.13          3.83          0.00          0.00         12.25        340.29          0.20        628.93
  0.14          3.82          0.00          0.00         13.24        340.29          0.20        628.66
  0.15          3.80          0.00          0.00         14.23        340.29          0.20        628.39
  0.16          3.79          0.00          0.00         15.22        340.29          0.20        628.11
  0.17          3.78          0.00          0.00         16.23        340.29          0.20        627.84
  0.18          3.76          0.00          0.00         17.23        340.29          0.20        627.57
  0.19          3.75          0.00          0.00         18.25        340.29          0.20        627.29
  0.20          3.73          0.00          0.00         19.27        340.29          0.20        627.01
  0.21          3.72          0.00          0.00         20.30        340.29          0.20        626.73
  0.22          3.71          0.00          0.00         21.33        340.28          0.20        626.45
  0.23          3.69          0.00          0.00         22.37        340.28          0.20        626.17
  0.24          3.68          0.00          0.00         23.41        340.28          0.20        625.89
  0.25          3.66          0.00          0.00         24.46        340.28          0.20        625.60
  0.26          3.65          0.00          0.00         25.52        340.28          0.20        625.31
  0.27          3.63          0.00          0.00         26.59        340.28          0.20        625.03
  0.28          3.61          0.00          0.00         27.66        340.28          0.20        624.74
  0.29          3.60          0.00          0.00         28.73        340.28          0.20        624.45
  0.30          3.58          0.00          0.00         29.81        340.28          0.20        624.15
  0.31          3.56          0.00          0.00         30.90        340.28          0.20        623.86
  0.32          3.55          0.00          0.00         32.00        340.28          0.20        623.57
  0.33          3.53          0.00          0.00         33.10        340.28          0.20        623.27
  0.34          3.51          0.00          0.00         34.20        340.28          0.20        622.97
  0.35          3.49          0.00          0.00         35.32        340.27          0.20        622.67
  0.36          3.47          0.00          0.00         36.43        340.27          0.20        622.37
  0.37          3.45          0.00          0.00         37.56        340.27          0.20        622.07
  0.38          3.43          0.00          0.00         38.69        340.27          0.20        621.77
  0.39          3.41          0.00          0.00         39.83        340.27          0.20        621.46
  0.40          3.39          0.00          0.00         40.97        340.27          0.20        621.16
  0.41          3.37          0.00          0.00         42.12        340.27          0.20        620.85
  0.42          3.34          0.00          0.00         43.28        340.27          0.20        620.54
  0.43          3.32          0.00          0.00         44.44        340.27          0.20        620.23
  0.44          3.30          0.00          0.00         45.61        340.26          0.20        619.92
  0.45          3.27          0.00          0.00         46.79        340.26          0.20        619.60
  0.46          3.24          0.00          0.00         47.97        340.26          0.20        619.29
  0.47          3.22          0.00          0.00         49.16        340.26          0.20        618.97
  0.48          3.19          0.00          0.00         50.35        340.26          0.20        618.66
  0.49          3.16          0.00          0.00         51.55        340.26          0.20        618.34
  0.50          3.13          0.00          0.00         52.76        340.26          0.20        618.02
  0.51          3.10          0.00          0.00         53.97        340.25          0.20        617.69
  0.52          3.07          0.00          0.00         55.19        340.25          0.20        617.37
  0.53          3.04          0.00          0.00         56.42        340.25          0.20        617.05
  0.54          3.00          0.00          0.00         57.65        340.25          0.20        616.72
  0.55          2.97          0.00          0.00         58.89        340.25          0.20        616.39
  0.56          2.93          0.00          0.00         60.13        340.25          0.20        616.06
  0.57          2.89          0.00          0.00         61.39        340.24          0.20        615.73
  0.58          2.86          0.00          0.00         62.64        340.24          0.20        615.40
  0.59          2.82          0.00          0.00         63.91        340.24          0.20        615.07
  0.60          2.78          0.00          0.00         65.18        340.24          0.20        614.74
  0.61          2.74          0.00          0.00         66.46        340.24          0.20        614.40
  0.62          2.69          0.00          0.00         67.74        340.24          0.20        614.06
  0.63          2.65          0.00          0.00         69.03        340.23          0.20        613.72
  0.64          2.61          0.00          0.00         70.33        340.23          0.21        613.38
  0.65          2.56          0.00          0.00         71.63        340.23          0.21        613.04
  0.66          2.51          0.00          0.00         72.94        340.23          0.21        612.70
  0.67          2.47          0.00          0.00         74.26        340.23          0.22        612.35
  0.68          2.42          0.00          0.00         75.58        340.22          0.22        612.01
  0.69          2.37          0.00          0.00         76.91        340.22          0.23        611.66
  0.70          2.32          0.00          0.00         78.25        340.22          0.23        611.31
  0.71          2.26          0.00          0.00         79.59        340.22          0.23        610.96
  0.72          2.21          0.00          0.00         80.94        340.22          0.24        610.61
  0.73          2.16          0.00          0.00         82.30        340.21          0.24        610.26
  0.74          2.10          0.00          0.00         83.66        340.21          0.25        609.90
  0.75          2.04          0.00          0.00         85.03        340.21          0.25        609.55
  0.76          1.99          0.00          0.00         86.40        340.21          0.25        609.19
  0.77          1.93          0.00          0.00         87.79        340.20          0.26        608.83
  0.78          1.87          0.00          0.00         89.17        340.20          0.26        608.47
  0.79          1.81          0.00          0.00         90.57        340.20          0.27        608.11
  0.80          1.75          0.00          0.00         91.97        340.20          0.27        607.75
  0.81          1.69          0.00          0.00         93.38        340.19          0.27        607.38
  0.82          1.63          0.00          0.00         94.80        340.19          0.28        607.02
  0.83          1.57          0.00          0.00         96.22        340.19          0.28        606.65
  0.84          1.50          0.00          0.00         97.65        340.19          0.29        606.28
  0.85          1.44          0.00          0.00         99.09        340.18          0.29        605.91
  0.86          1.37          0.00          0.00        100.53        340.18          0.30        605.54
  0.87          1.31          0.00          0.00        101.98        340.18          0.30        605.17
  0.88          1.24          0.00          0.00        103.43        340.17          0.30        604.79
  0.89          1.18          0.00          0.00        104.90        340.17          0.31        604.42
  0.90          1.11          0.00          0.00        106.37        340.17          0.31        604.04
  0.91          1.04          0.00          0.00        107.84        340.17          0.32        603.66
  0.92          0.98          0.00          0.00        109.33        340.16          0.32        603.28
  0.93          0.91          0.00          0.00        110.82        340.16          0.33        602.90
  0.94          0.84          0.00          0.00        112.31        340.16          0.33        602.52
  0.95          0.77          0.00          0.00        113.82        340.15          0.33        602.14
  0.96          0.70          0.00          0.00        115.33        340.15          0.34        601.75
  0.97          0.63          0.00          0.00        116.85        340.15          0.34        601.36
  0.98          0.57          0.00          0.00        118.37        340.14          0.35        600.98
  0.99          0.50          0.00          0.00        119.90        340.14          0.35        600.59
  1.00          0.43          0.00          0.00        121.44        340.14          0.36        600.19
  1.01          0.36          0.00          0.00        122.98        340.13          0.36        599.80
  1.02          0.30          0.00          0.00        124.53        340.13          0.37        599.41
  1.03          0.23          0.00          0.00        126.08        340.13          0.37        599.02
  1.04          0.16          0.00          0.00        127.63        340.12          0.38        598.62
  1.05          0.10          0.00          0.00        129.18        340.12          0.38        598.23
  1.06          0.03          0.00          0.00        130.74        340.12          0.38        597.84
  1.07          0.03         -0.00          0.05        132.30        340.11          0.39        597.44
  1.08          0.09         -0.00          0.05        133.86        340.11          0.39        597.05
  1.09          0.15         -0.00          0.05        135.42        340.10          0.40        596.65
  1.10          0.21         -0.00          0.05        136.99        340.10          0.40        596.26
  1.11          0.27         -0.00          0.05        138.56        340.10          0.41        595.86
  1.12          0.33         -0.00          0.05        140.13        340.09          0.41        595.46
  1.13          0.39         -0.00          0.05        141.71        340.09          0.42        595.07
  1.14          0.44         -0.00          0.05        143.28        340.09          0.42        594.67
  1.15          0.49         -0.00          0.05        144.86        340.08          0.43        594.27
  1.16          0.54         -0.00          0.05        146.45        340.08          0.43        593.88
  1.17          0.59         -0.00          0.05        148.03        340.07          0.44        593.48
  1.18          0.64         -0.00          0.05        149.62        340.07          0.44        593.08
  1.19          0.68         -0.00          0.05        151.21        340.07          0.44        592.68
  1.20          0.72         -0.00          0.05        152.81        340.06          0.45        592.28
  1.21          0.76         -0.00          0.05        154.40        340.06          0.45        591.88
  1.22          0.80         -0.00          0.05        156.00        340.05          0.46        591.48
  1.23          0.83         -0.00          0.05        157.61        340.05          0.46        591.08
  1.24          0.86         -0.00          0.05        159.21        340.04          0.47        590.68
  1.25          0.89         -0.00          0.05        160.82        340.04          0.47        590.28
  1.26          0.92         -0.00          0.05        162.43        340.04          0.48        589.88
  1.27          0.94         -0.00          0.05        164.04        340.03          0.48        589.47
  1.28          0.96         -0.00          0.05        165.66        340.03          0.49        589.07
  1.29          0.97         -0.00          0.05        167.28        340.02          0.49        588.67
  1.30          0.98         -0.00          0.05        168.90        340.02          0.50        588.26
  1.31          0.99         -0.00          0.05        170.52        340.01          0.50        587.86
  1.32          1.00         -0.00          0.05        172.15        340.01          0.51        587.46
  1.33          1.00         -0.00          0.05        173.78        340.00          0.51        587.05
  1.34          1.00         -0.00          0.05        175.41        340.00          0.52        586.65
  1.35          0.99         -0.00          0.05        177.05        339.99          0.52        586.24
  1.36          0.98         -0.00          0.05        178.69        339.99          0.53        585.84
  1.37          0.97         -0.00          0.05        180.33        339.98          0.53        585.43
  1.38          0.95         -0.00         -0.05        181.97        339.98          0.54        585.02
  1.39          0.93         -0.00         -0.05        183.62        339.97          0.54        584.62
  1.40          0.91         -0.00         -0.05        185.27        339.97          0.54        584.21
  1.41          0.89         -0.00         -0.05        186.92        339.96          0.55        583.80
  1.42          0.86         -0.00         -0.05        188.57        339.96          0.55        583.39
  1.43          0.82         -0.00         -0.05        190.23        339.95          0.56        582.99
  1.44          0.79         -0.00         -0.05        191.89        339.95          0.56        582.58
  1.45          0.75         -0.00         -0.05        193.56        339.94          0.57        582.17
  1.46          0.71         -0.00         -0.05        195.22        339.94          0.57        581.76
  1.47          0.67         -0.00         -0.05        196.89        339.93          0.58        581.35
  1.48          0.62         -0.00         -0.05        198.56        339.93          0.58        580.94
  1.49          0.57         -0.00          0.05        200.24        339.92          0.59        580.53
  1.50          0.52         -0.00          0.05        201.92        339.92          0.59        580.12
  1.51          0.47         -0.00         -0.05        203.60        339.91          0.60        579.70
  1.52          0.42         -0.00         -0.05        205.28        339.91          0.60        579.29
  1.53          0.37         -0.00         -0.05        206.97        339.90          0.61        578.88
  1.54          0.31         -0.00          0.05        208.65        339.89          0.61        578.47
  1.55          0.26         -0.00          0.05        210.35        339.89          0.62        578.05
  1.56          0.20         -0.00         -0.05        212.04        339.88          0.62        577.64
  1.57          0.15         -0.00         -0.05        213.74        339.88          0.63        577.23
  1.58          0.09         -0.00          0.05        215.44        339.87          0.63        576.81
  1.59          0.04         -0.00         -0.05        217.14        339.87          0.64        576.40
  1.60          0.02          0.00         -0.00        218.85        339.86          0.64        575.98
  1.61          0.07          0.00          0.00        220.55        339.85          0.65        575.57
  1.62          0.12          0.00          0.00        222.27        339.85          0.65        575.15
  1.63          0.17          0.00          0.00        223.98        339.84          0.66        574.74
  1.64          0.22          0.00          0.00        225.70        339.84          0.66        574.32
  1.65          0.26          0.00          0.00        227.42        339.83          0.67        573.90
  1.66          0.31          0.00          0.00        229.14        339.82          0.67        573.48
  1.67          0.35          0.00          0.00        230.87        339.82          0.68        573.07
  1.68          0.38          0.00          0.00        232.59        339.81          0.68        572.65
  1.69          0.42          0.00          0.00        234.32        339.81          0.69        572.23
  1.70          0.45          0.00          0.00        236.06        339.80          0.69        571.81
  1.71          0.47          0.00          0.00        237.80        339.79          0.70        571.39
  1.72          0.49          0.00          0.00        239.53        339.79          0.70        570.97
  1.73          0.51          0.00          0.00        241.28        339.78          0.71        570.55
  1.74          0.53          0.00          0.00        243.02        339.77          0.72        570.13
  1.75          0.54          0.00          0.00        244.77        339.77          0.72        569.71
  1.76          0.54          0.00          0.00        246.52        339.76          0.73        569.29
  1.77          0.54          0.00          0.00        248.27        339.75          0.73        568.87
  1.78          0.54          0.00          0.00        250.03        339.75          0.74        568.45
  1.79          0.53          0.00          0.00        251.79        339.74          0.74        568.02
  1.80          0.52          0.00          0.00        253.55        339.73          0.75        567.60
  1.81          0.51          0.00          0.00        255.32        339.73          0.75        567.18
  1.82          0.49          0.00          0.00        257.09        339.72          0.76        566.75
  1.83          0.46          0.00          0.00        258.86        339.71          0.76        566.33
  1.84          0.44          0.00          0.00        260.63        339.71          0.77        565.91
  1.85          0.41          0.00          0.00        262.41        339.70          0.77        565.48
  1.86          0.37          0.00          0.00        264.19        339.69          0.78        565.06
  1.87          0.34          0.00          0.00        265.97        339.69          0.78        564.63
  1.88          0.30          0.00          0.00        267.75        339.68          0.79        564.20
  1.89          0.26          0.00          0.00        269.54        339.67          0.79        563.78
  1.90          0.22          0.00          0.00        271.33        339.66          0.80        563.35
  1.91          0.17          0.00          0.00        273.13        339.66          0.80        562.92
  1.92          0.13          0.00          0.00        274.92        339.65          0.81        562.50
  1.93          0.09          0.00          0.00        276.72        339.64          0.81        562.07
  1.94          0.05          0.00          0.00        278.52        339.63          0.82        561.64
  1.95          0.00          0.00         -0.00        280.33        339.63          0.83        561.21
  1.96          0.04         -0.00         -0.05        282.13        339.62          0.83        560.78
  1.97          0.07         -0.00         -0.05        283.94        339.61          0.84        560.35
  1.98          0.11         -0.00          0.05        285.75        339.60          0.84        559.92
  1.99          0.14         -0.00         -0.05        287.57        339.60          0.85        559.49
  2.00          0.17         -0.00         -0.05        289.38        339.59          0.85        559.06
  2.01          0.20         -0.00          0.05        291.20        339.58          0.86        558.63
  2.02          0.23         -0.00         -0.05        293.03        339.57          0.86        558.20
  2.03          0.25         -0.00         -0.05        294.85        339.57          0.87        557.77
  2.04          0.27         -0.00          0.05        296.68        339.56          0.87        557.34
  2.05          0.28         -0.00         -0.05        298.51        339.55          0.88        556.90
  2.06          0.29         -0.00         -0.05        300.34        339.54          0.88        556.47
  2.07          0.30         -0.00          0.05        302.18        339.53          0.89        556.04
  2.08          0.30         -0.00          0.05        304.02        339.53          0.90        555.60
  2.09          0.30         -0.00          0.05        305.86        339.52          0.90        555.17
  2.10          0.30         -0.00          0.05        307.70        339.51          0.91        554.73
  2.11          0.29         -0.00         -0.05        309.55        339.50          0.91        554.30
  2.12          0.28         -0.00         -0.05        311.40        339.49          0.92        553.86
  2.13          0.26         -0.00          0.05        313.25        339.49          0.92        553.42
  2.14          0.24         -0.00         -0.05        315.10        339.48          0.93        552.99
  2.15          0.22         -0.00          0.05        316.96        339.47          0.93        552.55
  2.16          0.20         -0.00          0.05        318.82        339.46          0.94        552.11
  2.17          0.18         -0.00         -0.05        320.68        339.45          0.94        551.67
  2.18          0.15         -0.00         -0.05        322.54        339.44          0.95        551.23
  2.19          0.13         -0.00         -0.05        324.41        339.43          0.96        550.79
  2.20          0.10         -0.00         -0.05        326.28        339.43          0.96        550.35
  2.21          0.07         -0.00          0.05        328.15        339.42          0.97        549.91
  2.22          0.04         -0.00          0.05        330.03        339.41          0.97        549.47
  2.23          0.01         -0.00         -0.05        331.91        339.40          0.98        549.03
  2.24          0.02          0.00          0.00        333.79        339.39          0.98        548.59
  2.25          0.04          0.00          0.00        335.67        339.38          0.99        548.15
  2.26          0.07          0.00          0.00        337.55        339.37          0.99        547.71
  2.27          0.09          0.00          0.00        339.44        339.36          1.00        547.26
  2.28          0.11          0.00          0.00        341.33        339.36          1.01        546.82
  2.29          0.13          0.00          0.00        343.22        339.35          1.01        546.37
  2.30          0.15          0.00          0.00        345.12        339.34          1.02        545.93
  2.31          0.17          0.00          0.00        347.02        339.33          1.02        545.49
  2.32          0.18          0.00          0.00        348.92        339.32          1.03        545.04
  2.33          0.19          0.00          0.00        350.82        339.31          1.03        544.59
  2.34          0.20          0.00          0.00        352.72        339.30          1.04        544.15
  2.35          0.20          0.00          0.00        354.63        339.29          1.05        543.70
  2.36          0.20          0.00          0.00        356.54        339.28          1.05        543.25
  2.37          0.20          0.00          0.00        358.45        339.27          1.06        542.81
  2.38          0.20          0.00          0.00        360.37        339.26          1.06        542.36
  2.39          0.19          0.00          0.00        362.28        339.25          1.07        541.91
  2.40          0.18          0.00          0.00        364.20        339.24          1.07        541.46
  2.41          0.17          0.00          0.00        366.12        339.23          1.08        541.01
  2.42          0.16          0.00          0.00        368.05        339.22          1.08        540.56
  2.43          0.15          0.00          0.00        369.97        339.21          1.09        540.11
  2.44          0.13          0.00          0.00        371.90        339.20          1.10        539.66
  2.45          0.11          0.00          0.00        373.83        339.19          1.10        539.21
  2.46          0.09          0.00          0.00        375.76        339.18          1.11        538.76
  2.47          0.07          0.00          0.00        377.70        339.17          1.11        538.30
  2.48          0.05          0.00          0.00        379.63        339.16          1.12        537.85
  2.49          0.03          0.00          0.00        381.57        339.15          1.13        537.40
  2.50          0.01          0.00         -0.00        383.51        339.14          1.13        536.94
  2.51          0.01         -0.00         -0.05        385.46        339.13          1.14        536.49
  2.52          0.02         -0.00          0.05        387.40        339.12          1.14        536.04
  2.53          0.04         -0.00          0.05        389.35        339.11          1.15        535.58
  2.54          0.06         -0.00          0.05        391.30        339.10          1.15        535.13
  2.55          0.07         -0.00         -0.05        393.25        339.09          1.16        534.67
  2.56          0.08         -0.00         -0.05        395.21        339.08          1.17        534.21
  2.57          0.09         -0.00          0.05        397.16        339.07          1.17        533.76
  2.58          0.10         -0.00          0.05        399.12        339.06          1.18        533.30
  2.59          0.11         -0.00         -0.05        401.08        339.05          1.18        532.84
  2.60          0.11         -0.00         -0.05        403.04        339.04          1.19        532.38
  2.61          0.11         -0.00         -0.05        405.01        339.03          1.19        531.92
  2.62          0.11         -0.00         -0.05        406.97        339.02          1.20        531.46
  2.63          0.11         -0.00          0.05        408.94        339.01          1.21        531.01
  2.64          0.11         -0.00          0.05        410.91        339.00          1.21        530.55
  2.65          0.10         -0.00         -0.05        412.89        338.99          1.22        530.08
  2.66          0.10         -0.00         -0.05        414.87        338.98          1.22        529.62
  2.67          0.09         -0.00         -0.05        416.85        338.97          1.23        529.16
  2.68          0.08         -0.00         -0.05        418.83        338.95          1.24        528.70
  2.69          0.07         -0.00         -0.05        420.82        338.94          1.24        528.24
  2.70          0.05         -0.00          0.05        422.82        338.93          1.25        527.77
  2.71          0.04         -0.00         -0.05        424.81        338.92          1.25        527.31
  2.72          0.03         -0.00         -0.05        426.81        338.91          1.26        526.85
  2.73          0.01         -0.00         -0.05        428.81        338.90          1.27        526.38
  2.74          0.00         -0.00          0.05        430.82        338.89          1.27        525.92
  2.75          0.01          0.00          0.00        432.83        338.88          1.28        525.45
  2.76          0.03          0.00          0.00        434.84        338.87          1.28        524.99
  2.77          0.04          0.00          0.00        436.85        338.85          1.29        524.52
  2.78          0.05          0.00          0.00        438.87        338.84          1.30        524.06
  2.79          0.06          0.00          0.00        440.90        338.83          1.30        523.59
  2.80          0.07          0.00          0.00        442.92        338.82          1.31        523.12
  2.81          0.08          0.00          0.00        444.95        338.81          1.31        522.65
  2.82          0.08          0.00          0.00        446.98        338.80          1.32        522.18
  2.83          0.09          0.00          0.00        449.02        338.78          1.33        521.72
  2.84          0.09          0.00          0.00        451.06        338.77          1.33        521.25
  2.85          0.09          0.00          0.00        453.10        338.76          1.34        520.78
  2.86          0.09          0.00          0.00        455.15        338.75          1.34        520.31
  2.87          0.09          0.00          0.00        457.20        338.74          1.35        519.84
  2.88          0.09          0.00          0.00        459.26        338.72          1.36        519.36
  2.89          0.09          0.00          0.00        461.31        338.71          1.36        518.89
  2.90          0.09          0.00          0.00        463.38        338.70          1.37        518.42
  2.91          0.08          0.00          0.00        465.44        338.69          1.37        517.95
  2.92          0.07          0.00          0.00        467.51        338.68          1.38        517.47
  2.93          0.07          0.00          0.00        469.58        338.66          1.39        517.00
  2.94          0.06          0.00          0.00        471.66        338.65          1.39        516.53
  2.95          0.05          0.00          0.00        473.74        338.64          1.40        516.05
  2.96          0.04          0.00          0.00        475.82        338.63          1.41        515.58
  2.97          0.03          0.00          0.00        477.91        338.61          1.41        515.10
  2.98          0.03          0.00         -0.00        480.00        338.60          1.42        514.63
  2.99          0.02          0.00         -0.00        482.09        338.59          1.42        514.15
  3.00          0.01          0.00         -0.00        484.19        338.58          1.43        513.67
  3.01          0.00         -0.00         -0.05        486.29        338.56          1.44        513.20
  3.02          0.01         -0.00         -0.05        488.37        338.55          1.44        512.72
  3.03          0.02         -0.00          0.05        490.45        338.54          1.45        512.25
  3.04          0.02         -0.00          0.05        492.52        338.53          1.45        511.78
  3.05          0.03         -0.00          0.05        494.58        338.51          1.46        511.31
  3.06          0.04         -0.00          0.05        496.63        338.50          1.47        510.85
  3.07          0.04         -0.00         -0.05        498.67        338.49          1.47        510.38
  3.08          0.05         -0.00         -0.05        500.70        338.47          1.48        509.92
  3.09          0.05         -0.00          0.05        502.73        338.46          1.49        509.46
  3.10          0.05         -0.00         -0.05        504.74        338.45          1.49        509.00
  3.11          0.05         -0.00          0.05        506.75        338.43          1.50        508.55
  3.12          0.05         -0.00         -0.05        508.75        338.42          1.50        508.09
  3.13          0.05         -0.00          0.05        510.73        338.41          1.51        507.64
  3.14          0.05         -0.00         -0.05        512.71        338.39          1.52        507.19
  3.15          0.05         -0.00          0.05        514.68        338.38          1.52        506.75
  3.16          0.05         -0.00         -0.05        516.64        338.37          1.53        506.30
  3.17          0.05         -0.00          0.05        518.59        338.35          1.53        505.86
  3.18          0.04         -0.00         -0.05        520.53        338.34          1.54        505.41
  3.19          0.04         -0.00         -0.05        522.46        338.33          1.54        504.97
  3.20          0.04         -0.00          0.05        524.38        338.31          1.55        504.54
  3.21          0.03         -0.00         -0.05        526.29        338.30          1.56        504.10
  3.22          0.03         -0.00          0.05        528.20        338.29          1.56        503.67
  3.23          0.02         -0.00         -0.05        530.09        338.27          1.57        503.23
  3.24          0.02         -0.00          0.05        531.97        338.26          1.57        502.81
  3.25          0.01         -0.00         -0.05        533.84        338.24          1.58        502.38
  3.26          0.00         -0.00         -0.05        535.71        338.23          1.58        501.95
  3.27          0.00          0.00          0.00        537.56        338.22          1.59        501.53
  3.28          0.01          0.00          0.00        539.40        338.20          1.59        501.11
  3.29          0.01          0.00          0.00        541.24        338.19          1.60        500.69
  3.30          0.02          0.00          0.00        543.06        338.17          1.61        500.27
  3.31          0.02          0.00          0.00        544.88        338.16          1.61        499.85
  3.32          0.03          0.00          0.00        546.68        338.15          1.62        499.44
  3.33          0.03          0.00         -0.00        548.48        338.13          1.62        499.03
  3.34          0.04          0.00         -0.00        550.26        338.12          1.63        498.62
  3.35          0.04          0.00         -0.00        552.04        338.10          1.63        498.21
  3.36          0.04          0.00         -0.00        553.80        338.09          1.64        497.81
  3.37          0.04          0.00         -0.00        555.56        338.07          1.64        497.40
  3.38          0.05          0.00         -0.00        557.30        338.06          1.65        497.00
  3.39          0.05          0.00         -0.00        559.04        338.04          1.65        496.60
  3.40          0.05          0.00         -0.00        560.77        338.03          1.66        496.20
  3.41          0.05          0.00         -0.00        562.48        338.02          1.66        495.81
  3.42          0.05          0.00         -0.00        564.19        338.00          1.67        495.41
  3.43          0.05          0.00         -0.00        565.88        337.99          1.67        495.02
  3.44          0.05          0.00         -0.00        567.57        337.97          1.68        494.63
  3.45          0.05          0.00         -0.00        569.24        337.96          1.68        494.25
  3.46          0.04          0.00         -0.00        570.91        337.94          1.69        493.86
  3.47          0.04          0.00         -0.00        572.57        337.93          1.69        493.48
  3.48          0.04          0.00         -0.00        574.21        337.91          1.70        493.10
  3.49          0.04          0.00         -0.00        575.85        337.90          1.70        492.72
  3.50          0.03          0.00         -0.00        577.47        337.88          1.71        492.34
  3.51          0.03          0.00         -0.00        579.09        337.87          1.71        491.96
  3.52          0.03          0.00         -0.00        580.69        337.85          1.72        491.59
  3.53          0.02          0.00         -0.00        582.29        337.84          1.72        491.22
  3.54          0.02          0.00         -0.00        583.87        337.82          1.73        490.85
  3.55          0.02          0.00         -0.00        585.45        337.81          1.73        490.48
  3.56          0.01          0.00         -0.00        587.01        337.79          1.74        490.12
  3.57          0.01          0.00         -0.00        588.57        337.78          1.74        489.75
  3.58          0.00          0.00         -0.00        590.11        337.76          1.75        489.39
  3.59          0.00          0.00         -0.00        591.64        337.75          1.75        489.03
  3.60          0.00         -0.00         -0.05        593.17        337.73          1.76        488.67
  3.61          0.01         -0.00         -0.05        594.68        337.71          1.76        488.32
  3.62          0.01         -0.00         -0.05        596.18        337.70          1.77        487.97
  3.63          0.01         -0.00         -0.05        597.67        337.68          1.77        487.61
  3.64          0.01         -0.00          0.05        599.16        337.67          1.77        487.26
  3.65          0.02         -0.00          0.05        600.63        337.65          1.78        486.92
  3.66          0.02         -0.00          0.05        602.09        337.64          1.78        486.57
  3.67          0.02         -0.00          0.05        603.54        337.62          1.79        486.23
  3.68          0.02         -0.00          0.05        604.98        337.61          1.79        485.89
  3.69          0.02         -0.00          0.05        606.41        337.59          1.80        485.55
  3.70          0.02         -0.00          0.05        607.83        337.57          1.80        485.21
  3.71          0.02         -0.00          0.05        609.24        337.56          1.80        484.88
  3.72          0.02         -0.00          0.05        610.64        337.54          1.81        484.54
  3.73          0.02         -0.00          0.05        612.03        337.53          1.81        484.21
  3.74          0.02         -0.00          0.05        613.41        337.51          1.82        483.88
  3.75          0.02         -0.00          0.05        614.77        337.49          1.82        483.56
  3.76          0.02         -0.00          0.05        616.13        337.48          1.83        483.23
  3.77          0.01         -0.00          0.05        617.48        337.46          1.83        482.91
  3.78          0.01         -0.00          0.05        618.81        337.45          1.83        482.59
  3.79          0.01         -0.00          0.05        620.14        337.43          1.84        482.27
  3.80          0.01         -0.00          0.05        621.45        337.41          1.84        481.95
  3.81          0.01         -0.00          0.05        622.76        337.40          1.85        481.63
  3.82          0.00         -0.00          0.05        624.05        337.38          1.85        481.32
  3.83          0.00         -0.00          0.05        625.33        337.37          1.85        481.01
  3.84          0.00          0.00         -0.00        626.61        337.35          1.86        480.70
  3.85          0.00          0.00         -0.00        627.87        337.33          1.86        480.39
  3.86          0.01          0.00         -0.00        629.12        337.32          1.87        480.09
  3.87          0.01          0.00         -0.00        630.36        337.30          1.87        479.79
  3.88          0.01          0.00         -0.00        631.59        337.28          1.87        479.48
  3.89          0.01          0.00         -0.00        632.81        337.27          1.88        479.19
  3.90          0.02          0.00         -0.00        634.02        337.25          1.88        478.89
  3.91          0.02          0.00         -0.00        635.22        337.24          1.88        478.59
  3.92          0.02          0.00         -0.00        636.40        337.22          1.89        478.30
  3.93          0.02          0.00         -0.00        637.58        337.20          1.89        478.01
  3.94          0.02          0.00         -0.00        638.74        337.19          1.89        477.72
  3.95          0.02          0.00         -0.00        639.90        337.17          1.90        477.43
  3.96          0.03          0.00         -0.00        641.04        337.15          1.90        477.15
  3.97          0.03          0.00         -0.00        642.18        337.14          1.90        476.87
  3.98          0.03          0.00         -0.00        643.30        337.12          1.91        476.58
  3.99          0.03          0.00         -0.00        644.41        337.10          1.91        476.31
  4.00          0.03          0.00         -0.00        645.51        337.09          1.91        476.03
  4.01          0.03          0.00         -0.00        646.60        337.07          1.92        475.75
  4.02          0.03          0.00         -0.00        647.68        337.05          1.92        475.48
  4.03          0.03          0.00         -0.00        648.76        337.04          1.92        475.21
  4.04          0.03          0.00         -0.00        649.83        337.02          1.93        474.94
  4.05          0.03          0.00         -0.00        650.89        337.00          1.93        474.67
  4.06          0.03          0.00         -0.00        651.94        336.98          1.93        474.40
  4.07          0.03          0.00         -0.00        652.98        336.97          1.94        474.13
  4.08          0.02          0.00         -0.00        654.01        336.95          1.94        473.87
  4.09          0.02          0.00         -0.00        655.04        336.93          1.94        473.61
  4.10          0.02          0.00         -0.00        656.06        336.92          1.95        473.35
  4.11          0.02          0.00         -0.00        657.06        336.90          1.95        473.09
  4.12          0.02          0.00         -0.00        658.07        336.88          1.95        472.83
